iter	Passed	Remaining
823	25145	5370
824	25174	5340
825	25202	5308
826	25232	5278
827	25254	5246
828	25278	5214
829	25303	5182
830	25324	5150
831	25348	5118
832	25377	5087
833	25415	5058
834	25443	5027
835	25470	4996
836	25496	4965
837	25524	4934
838	25552	4903
839	25579	4872
840	25605	4840
841	25636	4810
842	25662	4779
843	25698	4750
844	25725	4718
845	25750	4687
846	25772	4655
847	25793	4623
848	25814	4591
849	25837	4559
850	25864	4528
851	25885	4496
852	25912	4465
853	25941	4434
854	25966	4403
855	25995	4373
856	26024	4342
857	26052	4311
858	26088	4282
859	26120	4252
860	26156	4222
861	26184	4191
862	26215	4161
863	26238	4130
864	26264	4099
865	26299	4069
866	26327	4038
867	26355	4007
868	26388	3977
869	26417	3947
870	26449	3917
871	26481	3887
872	26512	3856
873	26545	3826
874	26571	3795
875	26601	3765
876	26638	3736
877	26666	3705
878	26698	3675
879	26726	3644
880	26756	3614
881	26790	3584
882	26815	3553
883	26845	3522
884	26880	3492
885	26913	3462
886	26947	3433
887	26981	3403
888	27013	3372
889	27042	3342
890	27070	3311
891	27100	3281
892	27140	3252
893	27182	3223
894	27215	3192
895	27246	3162
896	27280	3132
897	27315	3102
898	27344	3072
899	27372	3041
900	27400	3010
901	27430	2980
902	27460	2949
903	27492	2919
904	27524	2889
905	27554	2858
906	27584	2828
907	27617	2798
908	27648	2767
909	27677	2737
910	27702	2706
911	27728	2675
912	27758	2645
913	27783	2614
914	27808	2583
915	27836	2552
916	27864	2522
917	27894	2491
918	27939	2462
919	27982	2433
920	28015	2403
921	28056	2373
922	28084	2342
923	28110	2312
924	28139	2281
925	28168	2251
926	28197	2220
927	28220	2189
928	28243	2158
929	28266	2127
930	28288	2096
931	28317	2066
932	28347	2035
933	28375	2005
934	28403	1974
935	28434	1944
936	28463	1913
937	28495	1883
938	28523	1852
939	28553	1822
940	28582	1792
941	28607	1761
942	28636	1730
943	28668	1700
944	28697	1670
945	28725	1639
946	28761	1609
947	28812	1580
948	28845	1550
949	28882	1520
950	28919	1490
951	28948	1459
952	28974	1428
953	28998	1398
954	29017	1367
955	29040	1336
956	29062	1305
957	29081	1274
958	29101	1244
959	29128	1213
960	29150	1183
961	29174	1152
962	29200	1121
963	29226	1091
964	29253	1060
965	29276	1030
966	29309	1000
967	29344	970
968	29382	939
969	29413	909
970	29441	879
971	29475	849
972	29511	818
973	29542	788
974	29569	758
975	29596	727
976	29625	697
977	29653	667
978	29690	636
979	29722	606
980	29751	576
981	29778	545
982	29807	515
983	29836	485
984	29862	454
985	29894	424
986	29923	394
987	29950	363
988	29978	333
989	30006	303
990	30034	272
991	30060	242
992	30094	212
993	30121	181
994	30150	151
995	30178	121
996	30203	90
997	30230	60
998	30252	30
999	30280	0
