 format: day,hour,forecast,value  location:53_114 Start : 20150101 ,month
 6,800.0,52.0,326.0,4
 6,800.0,55.0,356.0,4
 6,1100.0,4.0,328.0,4
 6,1100.0,7.0,338.0,4
 6,1100.0,10.0,347.0,4
 6,1100.0,13.0,353.0,4
 6,1100.0,16.0,350.0,4
 6,1100.0,19.0,326.0,4
 6,1100.0,22.0,324.0,4
 6,1100.0,25.0,340.0,4
 6,1100.0,28.0,348.0,4
 6,1100.0,31.0,357.0,4
 6,1100.0,34.0,22.0,4
 6,1100.0,37.0,50.0,4
 6,1100.0,40.0,15.0,4
 6,1100.0,43.0,333.0,4
 6,1100.0,46.0,335.0,4
 6,1100.0,49.0,326.0,4
 6,1100.0,52.0,356.0,4
 6,1400.0,4.0,340.0,4
 6,1400.0,7.0,349.0,4
 6,1400.0,10.0,354.0,4
 6,1400.0,13.0,350.0,4
 6,1400.0,16.0,328.0,4
 6,1400.0,19.0,325.0,4
 6,1400.0,22.0,340.0,4
 6,1400.0,25.0,349.0,4
 6,1400.0,28.0,357.0,4
 6,1400.0,31.0,22.0,4
 6,1400.0,34.0,52.0,4
 6,1400.0,37.0,8.0,4
 6,1400.0,40.0,333.0,4
 6,1400.0,43.0,336.0,4
 6,1400.0,46.0,333.0,4
 6,1400.0,49.0,7.0,4
 6,1700.0,4.0,349.0,4
 6,1700.0,7.0,354.0,4
 6,1700.0,10.0,350.0,4
 6,1700.0,13.0,328.0,4
 6,1700.0,16.0,325.0,4
 6,1700.0,19.0,340.0,4
 6,1700.0,22.0,349.0,4
 6,1700.0,25.0,357.0,4
 6,1700.0,28.0,22.0,4
 6,1700.0,31.0,52.0,4
 6,1700.0,34.0,8.0,4
 6,1700.0,37.0,333.0,4
 6,1700.0,40.0,336.0,4
 6,1700.0,43.0,333.0,4
 6,1700.0,46.0,7.0,4
 6,2000.0,4.0,353.0,4
 6,2000.0,7.0,350.0,4
 6,2000.0,10.0,326.0,4
 6,2000.0,13.0,324.0,4
 6,2000.0,16.0,340.0,4
 6,2000.0,19.0,348.0,4
 6,2000.0,22.0,357.0,4
 6,2000.0,25.0,22.0,4
 6,2000.0,28.0,50.0,4
 6,2000.0,31.0,15.0,4
 6,2000.0,34.0,333.0,4
 6,2000.0,37.0,335.0,4
 6,2000.0,40.0,326.0,4
 6,2000.0,43.0,356.0,4
 6,2000.0,46.0,9.0,4
 6,2000.0,49.0,13.0,4
 6,2000.0,52.0,9.0,4
 6,2000.0,55.0,95.0,4
 6,2000.0,58.0,352.0,4
 6,2000.0,61.0,308.0,4
 6,2000.0,64.0,344.0,4
 6,2000.0,67.0,2.0,4
 6,2300.0,4.0,350.0,4
 6,2300.0,7.0,328.0,4
 6,2300.0,10.0,324.0,4
 6,2300.0,13.0,340.0,4
 6,2300.0,16.0,348.0,4
 6,2300.0,19.0,357.0,4
 6,2300.0,22.0,22.0,4
 6,2300.0,25.0,50.0,4
 6,2300.0,28.0,15.0,4
 6,2300.0,31.0,333.0,4
 6,2300.0,34.0,335.0,4
 6,2300.0,37.0,326.0,4
 6,2300.0,40.0,356.0,4
 6,2300.0,43.0,9.0,4
 6,2300.0,46.0,13.0,4
 6,2300.0,49.0,40.0,4
 6,2300.0,52.0,95.0,4
 6,2300.0,55.0,352.0,4
 6,2300.0,58.0,308.0,4
 6,2300.0,61.0,344.0,4
 6,2300.0,64.0,2.0,4
 7,200.0,4.0,326.0,4
 7,200.0,7.0,324.0,4
 7,200.0,10.0,340.0,4
 7,200.0,13.0,348.0,4
 7,200.0,16.0,357.0,4
 7,200.0,19.0,22.0,4
 7,200.0,22.0,50.0,4
 7,200.0,25.0,15.0,4
 7,200.0,28.0,333.0,4
 7,200.0,31.0,335.0,4
 7,200.0,34.0,326.0,4
 7,200.0,37.0,356.0,4
 7,200.0,40.0,9.0,4
 7,200.0,43.0,13.0,4
 7,200.0,46.0,9.0,4
 7,200.0,49.0,95.0,4
 7,200.0,52.0,352.0,4
 7,200.0,55.0,308.0,4
