month, format: day,hour,forecast,일최고기온,6시간강수량,하늘상태,풍속,강수확률,풍향,6시간적설,일최저기온,습도,강수형태,3시간기온
1, 1,1700.0,10.0,12.3,0.0,2.0,0.9,10.0,222.0,0.0,,52.0,0.0,12.3
1, 1,1700.0,13.0,13.5,,1.0,2.4,0.0,292.0,,,52.0,0.0,13.5
1, 1,1700.0,16.0,11.2,0.0,1.0,2.6,0.0,267.0,0.0,,62.0,0.0,11.2
1, 1,1700.0,19.0,9.0,,1.0,1.4,0.0,312.0,,,60.0,0.0,9.0
1, 1,1700.0,22.0,6.7,0.0,1.0,1.5,0.0,301.0,0.0,,58.0,0.0,6.7
1, 1,1700.0,25.0,4.6,,1.0,1.5,0.0,309.0,,,55.0,0.0,4.6
1, 1,1700.0,28.0,2.9,0.0,1.0,1.5,0.0,312.0,0.0,,57.0,0.0,2.9
1, 1,1700.0,31.0,3.8,,1.0,1.5,0.0,299.0,,,52.0,0.0,3.8
1, 1,1700.0,34.0,9.6,0.0,1.0,2.1,0.0,303.0,0.0,,35.0,0.0,9.6
1, 1,1700.0,37.0,11.1,,1.0,2.6,0.0,302.0,,,30.0,0.0,11.1
1, 1,1700.0,40.0,9.6,0.0,1.0,2.1,0.0,291.0,0.0,,38.0,0.0,9.6
1, 1,1700.0,43.0,7.5,,1.0,1.5,0.0,295.0,,,44.0,0.0,7.5
1, 1,1700.0,46.0,5.1,0.0,1.0,0.9,0.0,287.0,0.0,,49.0,0.0,5.1
1, 1,2000.0,4.0,5.6,,3.0,1.0,21.0,276.0,,1.3,70.0,0.0,5.6
1, 1,2000.0,7.0,12.3,0.0,2.0,1.0,10.0,283.0,0.0,2.9,50.0,0.0,12.3
1, 1,2000.0,10.0,13.6,,1.0,2.1,0.0,297.0,,,50.0,0.0,13.6
1, 1,2000.0,13.0,10.7,0.0,1.0,2.1,0.0,291.0,0.0,,65.0,0.0,10.7
1, 1,2000.0,16.0,8.8,,1.0,1.4,0.0,328.0,,,67.0,0.0,8.8
1, 1,2000.0,19.0,6.2,0.0,1.0,0.9,0.0,323.0,0.0,,74.0,0.0,6.2
1, 1,2000.0,22.0,4.4,,1.0,0.9,0.0,312.0,,,72.0,0.0,4.4
1, 1,2000.0,25.0,2.2,0.0,1.0,0.9,0.0,302.0,0.0,,68.0,0.0,2.2
1, 1,2000.0,28.0,4.9,,1.0,1.4,0.0,291.0,,,57.0,0.0,4.9
1, 1,2000.0,31.0,9.5,0.0,1.0,2.1,0.0,304.0,0.0,,34.0,0.0,9.5
1, 1,2000.0,34.0,11.6,,1.0,2.6,0.0,307.0,,,29.0,0.0,11.6
1, 1,2000.0,37.0,10.1,0.0,1.0,2.5,0.0,294.0,0.0,,42.0,0.0,10.1
1, 1,2000.0,40.0,8.0,,1.0,0.9,0.0,291.0,,,52.0,0.0,8.0
1, 1,2000.0,43.0,5.0,0.0,1.0,0.8,0.0,306.0,0.0,,54.0,0.0,5.0
1, 1,2000.0,46.0,3.6,,2.0,0.8,11.0,303.0,,,59.0,0.0,3.6
1, 1,2000.0,49.0,3.3,0.0,2.0,0.9,11.0,337.0,0.0,,60.0,0.0,3.3
1, 1,2000.0,52.0,4.8,,2.0,1.0,11.0,317.0,,,62.0,0.0,4.8
1, 1,2000.0,55.0,10.9,0.0,2.0,2.6,11.0,307.0,0.0,,42.0,0.0,10.9
1, 1,2000.0,58.0,12.6,,2.0,2.6,11.0,311.0,,,39.0,0.0,12.6
1, 1,2000.0,61.0,8.6,0.0,1.0,2.0,0.0,329.0,0.0,,49.0,0.0,8.6
1, 1,2000.0,64.0,5.7,,1.0,1.5,0.0,313.0,,,62.0,0.0,5.7
1, 1,2000.0,67.0,4.6,0.0,1.0,1.5,0.0,315.0,0.0,,67.0,0.0,4.6
1, 1,2300.0,4.0,12.3,0.0,2.0,1.0,10.0,283.0,0.0,1.3,50.0,0.0,12.3
1, 1,2300.0,7.0,13.6,,1.0,2.1,0.0,297.0,,2.9,50.0,0.0,13.6
1, 1,2300.0,10.0,10.7,0.0,1.0,2.1,0.0,291.0,0.0,,65.0,0.0,10.7
1, 1,2300.0,13.0,8.8,,1.0,1.4,0.0,328.0,,,67.0,0.0,8.8
1, 1,2300.0,16.0,6.2,0.0,1.0,0.9,0.0,323.0,0.0,,74.0,0.0,6.2
1, 1,2300.0,19.0,4.4,,1.0,0.9,0.0,312.0,,,72.0,0.0,4.4
1, 1,2300.0,22.0,2.2,0.0,1.0,0.9,0.0,302.0,0.0,,68.0,0.0,2.2
1, 1,2300.0,25.0,4.9,,1.0,1.4,0.0,291.0,,,57.0,0.0,4.9
1, 1,2300.0,28.0,9.5,0.0,1.0,2.1,0.0,304.0,0.0,,34.0,0.0,9.5
1, 1,2300.0,31.0,11.6,,1.0,2.6,0.0,307.0,,,29.0,0.0,11.6
1, 1,2300.0,34.0,10.1,0.0,1.0,2.5,0.0,294.0,0.0,,42.0,0.0,10.1
1, 1,2300.0,37.0,8.0,,1.0,0.9,0.0,291.0,,,52.0,0.0,8.0
