month, format: day,hour,forecast,3시간기온,6시간적설,풍향,풍속,강수형태,습도,6시간강수량,하늘상태,일최고기온,일최저기온,강수확률
1, 1,1700.0,37.0,1.9,,176.0,2.1,0.0,50.0,,3.0,,,20.0
1, 1,1700.0,40.0,-0.1,0.0,176.0,2.6,0.0,69.0,0.0,3.0,,,20.0
1, 1,1700.0,43.0,-1.2,,169.0,1.8,0.0,72.0,,3.0,,,20.0
1, 1,1700.0,46.0,-2.3,0.0,164.0,1.8,0.0,81.0,0.0,3.0,,,20.0
1, 1,2000.0,4.0,-4.4,,342.0,2.6,3.0,75.0,,3.0,0.0,-7.1,69.0
1, 1,2000.0,7.0,-2.3,5.0,12.0,2.5,3.0,65.0,5.0,3.0,2.9,-2.0,59.0
1, 1,2000.0,10.0,-1.1,,335.0,6.3,0.0,50.0,,2.0,8.0,,10.0
1, 1,2000.0,13.0,-2.8,0.0,335.0,7.0,0.0,50.0,0.0,1.0,,,0.0
1, 1,2000.0,16.0,-3.7,,341.0,4.2,0.0,65.0,,1.0,,,0.0
1, 1,2000.0,19.0,-5.4,0.0,336.0,3.4,0.0,75.0,0.0,1.0,,,0.0
1, 1,2000.0,22.0,-6.2,,344.0,2.4,0.0,79.0,,1.0,,,0.0
1, 1,2000.0,25.0,-7.0,0.0,341.0,1.3,0.0,85.0,0.0,2.0,,,11.0
1, 1,2000.0,28.0,-4.3,,120.0,0.6,0.0,75.0,,3.0,,,21.0
1, 1,2000.0,31.0,-0.8,0.0,147.0,1.8,0.0,60.0,0.0,3.0,,,20.0
1, 1,2000.0,34.0,1.9,,178.0,1.8,0.0,55.0,,3.0,,,20.0
1, 1,2000.0,37.0,-0.2,0.0,179.0,2.7,0.0,70.0,0.0,3.0,,,20.0
1, 1,2000.0,40.0,-1.4,,167.0,1.7,0.0,80.0,,3.0,,,20.0
1, 1,2000.0,43.0,-1.3,0.0,165.0,0.9,0.0,85.0,0.0,3.0,,,20.0
1, 1,2000.0,46.0,-1.9,,168.0,0.8,0.0,85.0,,3.0,,,20.0
1, 1,2000.0,49.0,-1.8,0.0,187.0,1.0,0.0,85.0,0.0,3.0,,,20.0
1, 1,2000.0,52.0,0.3,,200.0,0.9,0.0,85.0,,2.0,,,10.0
1, 1,2000.0,55.0,6.2,0.0,244.0,2.8,0.0,65.0,0.0,2.0,,,10.0
1, 1,2000.0,58.0,7.0,,276.0,3.9,0.0,55.0,,2.0,,,0.0
1, 1,2000.0,61.0,3.2,0.0,313.0,2.0,0.0,70.0,0.0,1.0,,,0.0
1, 1,2000.0,64.0,0.0,,291.0,1.2,0.0,80.0,,1.0,,,0.0
1, 1,2000.0,67.0,-1.0,0.0,179.0,0.5,0.0,85.0,0.0,1.0,,,0.0
1, 1,2300.0,4.0,-2.3,5.0,12.0,2.5,3.0,65.0,5.0,3.0,0.0,-7.1,59.0
1, 1,2300.0,7.0,-1.1,,335.0,6.3,0.0,50.0,,2.0,2.9,-2.0,10.0
1, 1,2300.0,10.0,-2.8,0.0,335.0,7.0,0.0,50.0,0.0,1.0,8.0,,0.0
1, 1,2300.0,13.0,-3.7,,341.0,4.2,0.0,65.0,,1.0,,,0.0
1, 1,2300.0,16.0,-5.4,0.0,336.0,3.4,0.0,75.0,0.0,1.0,,,0.0
1, 1,2300.0,19.0,-6.2,,344.0,2.4,0.0,79.0,,1.0,,,0.0
1, 1,2300.0,22.0,-7.0,0.0,341.0,1.3,0.0,85.0,0.0,2.0,,,11.0
1, 1,2300.0,25.0,-4.3,,120.0,0.6,0.0,75.0,,3.0,,,21.0
1, 1,2300.0,28.0,-0.8,0.0,147.0,1.8,0.0,60.0,0.0,3.0,,,20.0
1, 1,2300.0,31.0,1.9,,178.0,1.8,0.0,55.0,,3.0,,,20.0
1, 1,2300.0,34.0,-0.2,0.0,179.0,2.7,0.0,70.0,0.0,3.0,,,20.0
1, 1,2300.0,37.0,-1.4,,167.0,1.7,0.0,80.0,,3.0,,,20.0
1, 1,2300.0,40.0,-1.3,0.0,165.0,0.9,0.0,85.0,0.0,3.0,,,20.0
1, 1,2300.0,43.0,-1.9,,168.0,0.8,0.0,85.0,,3.0,,,20.0
1, 1,2300.0,46.0,-1.8,0.0,187.0,1.0,0.0,85.0,0.0,3.0,,,20.0
1, 1,2300.0,49.0,0.3,,200.0,0.9,0.0,85.0,,2.0,,,10.0
1, 1,2300.0,52.0,6.2,0.0,244.0,2.8,0.0,65.0,0.0,2.0,,,10.0
