 format: day,hour,forecast,value  location:53_114 Start : 20160101 ,month
17,1700.0,4.0,28.299999,6
17,1700.0,7.0,26.6,6
17,2000.0,4.0,28.200001,6
17,2000.0,7.0,27.6,6
17,2000.0,10.0,28.200001,6
17,2300.0,4.0,28.200001,6
17,2300.0,7.0,27.6,6
17,2300.0,10.0,28.200001,6
18,200.0,4.0,28.200001,6
18,200.0,7.0,27.6,6
18,200.0,10.0,28.200001,6
18,500.0,4.0,27.6,6
18,500.0,7.0,28.200001,6
18,800.0,4.0,27.299999,6
18,800.0,7.0,28.299999,6
18,1100.0,4.0,27.299999,6
18,1100.0,7.0,28.299999,6
18,1400.0,4.0,27.1,6
18,1400.0,7.0,28.799999,6
18,1700.0,4.0,27.1,6
18,1700.0,7.0,29.4,6
18,2000.0,4.0,26.700001,6
18,2000.0,7.0,29.0,6
18,2000.0,10.0,28.200001,6
18,2300.0,4.0,26.700001,6
18,2300.0,7.0,29.0,6
18,2300.0,10.0,28.200001,6
19,200.0,4.0,27.0,6
19,200.0,7.0,28.5,6
19,200.0,10.0,27.5,6
19,500.0,4.0,28.5,6
19,500.0,7.0,27.5,6
19,800.0,4.0,27.9,6
19,800.0,7.0,28.5,6
19,1100.0,4.0,27.9,6
19,1100.0,7.0,29.4,6
19,1400.0,4.0,27.9,6
19,1400.0,7.0,29.4,6
19,1700.0,4.0,27.9,6
19,1700.0,7.0,30.4,6
19,2000.0,4.0,28.1,6
19,2000.0,7.0,28.6,6
19,2000.0,10.0,27.799999,6
19,2300.0,4.0,28.1,6
19,2300.0,7.0,28.6,6
19,2300.0,10.0,27.799999,6
20,200.0,4.0,28.200001,6
20,200.0,7.0,27.6,6
20,200.0,10.0,27.299999,6
20,500.0,4.0,27.6,6
20,500.0,7.0,27.299999,6
20,800.0,4.0,28.4,6
20,800.0,7.0,26.799999,6
20,1100.0,4.0,28.4,6
20,1100.0,7.0,26.799999,6
20,1400.0,4.0,28.4,6
20,1400.0,7.0,26.799999,6
20,1700.0,4.0,28.4,6
20,1700.0,7.0,26.799999,6
20,2000.0,4.0,27.5,6
20,2000.0,7.0,26.200001,6
20,2000.0,10.0,27.5,6
20,2300.0,4.0,27.5,6
20,2300.0,7.0,26.200001,6
20,2300.0,10.0,27.5,6
21,200.0,4.0,27.6,6
21,200.0,7.0,26.200001,6
21,200.0,10.0,27.5,6
21,500.0,4.0,26.200001,6
21,500.0,7.0,27.5,6
21,800.0,4.0,27.4,6
21,800.0,7.0,28.299999,6
21,1100.0,4.0,27.4,6
21,1100.0,7.0,28.299999,6
21,1400.0,4.0,27.4,6
21,1400.0,7.0,28.299999,6
21,1700.0,4.0,27.4,6
21,1700.0,7.0,28.299999,6
21,2000.0,4.0,26.5,6
21,2000.0,7.0,27.4,6
21,2000.0,10.0,25.299999,6
21,2300.0,4.0,26.5,6
21,2300.0,7.0,27.4,6
21,2300.0,10.0,25.299999,6
22,200.0,4.0,28.5,6
22,200.0,7.0,27.4,6
22,200.0,10.0,25.299999,6
22,500.0,4.0,27.5,6
22,500.0,7.0,25.4,6
22,800.0,4.0,28.200001,6
22,800.0,7.0,24.700001,6
22,1100.0,4.0,28.200001,6
22,1100.0,7.0,24.700001,6
22,1400.0,4.0,28.200001,6
22,1400.0,7.0,24.700001,6
22,1700.0,4.0,28.200001,6
22,1700.0,7.0,24.700001,6
22,2000.0,4.0,27.6,6
22,2000.0,7.0,25.4,6
22,2000.0,10.0,26.0,6
22,2300.0,4.0,27.6,6
22,2300.0,7.0,25.4,6
22,2300.0,10.0,26.0,6
23,200.0,4.0,27.6,6
23,200.0,7.0,25.4,6
23,200.0,10.0,26.0,6
23,500.0,4.0,25.4,6
23,500.0,7.0,26.0,6
23,800.0,4.0,24.799999,6
23,800.0,7.0,26.200001,6
23,1100.0,4.0,24.799999,6
23,1100.0,7.0,26.200001,6
23,1400.0,4.0,24.799999,6
